;»ÕÕ;»ÕÕ_id
0;9704082895;11249
1;7730569353;9749
2;7703400140;7482
3;8603118208;10931
4;7710068052;8490
5;1655049111;832
6;7709340842;8373
7;9718221490;11425
8;7719022542;9057
9;7714775020;8805
10;5042060699;4233
11;7704758153;7781
12;5029104266;4072
13;7838418751;10772
14;2315995868;1495
15;5403145086;4694
16;5047172389;4297
17;1654035998;819
18;4826022365;3812
19;7705639173;7922
20;7727696432;9520
21;1655189422;846
22;6632004667;6037
23;7710698978;8591
24;7701655865;7247
25;6663003800;6146
26;7732121736;9829
27;5046001101;4267
28;4623004836;3540
29;7717127211;8958
30;5047105054;4290
31;2922008546;2109
32;4633037968;3603
33;3814007314;2876
34;3305051742;2383
35;7703295463;7457
36;7810022460;10409
37;5609087920;4981
38;6229024796;5600
39;9705118142;11284
40;7707205911;8117
41;6732075238;6358
42;7709583813;8413
43;3811125221;2858
44;7730107662;9705
45;7701004101;7162
46;5001048893;3863
47;4725001168;3725
48;9715239467;11366
49;4203001913;3179
50;7811657720;10507
51;7709976356;8455
52;7718538045;9027
53;7705189397;7866
54;7705532790;7909
55;7830001028;10718
56;4216001565;3309
57;7706236515;8002
58;7703106050;7437
59;7017286512;6470
60;1001228754;351
61;7428007317;6924
62;7702192017;7306
63;7705005321;7827
64;5827901723;5126
65;4252012308;3430
66;7710761161;8599
67;7731530768;9819
68;7729507377;9668
69;7716641537;8916
70;7705058323;7852
71;8904075533;11033
72;7702352454;7337
73;5030041780;4095
74;7814581879;10604
75;3812100526;2869
76;3328430578;2474
77;7327067461;6848
78;7839326623;10792
79;7719555477;9079
80;7703248907;7449
81;7810349385;10434
82;7706739893;8067
83;7703635416;7549
84;3328426780;2471
85;5443005705;4853
86;7731316845;9788
87;7736588909;9995
88;7701879760;7262
89;2308091759;1346
90;7810249327;10423
91;4633042206;3605
92;7704459330;7726
93;7729657870;9676
94;5501100816;4881
95;7706288496;8008
96;7804568558;10292
97;4205003440;3187
98;6670413340;6186
99;7705255201;7869
100;7809008119;10402
101;1650292810;760
102;7704579700;7749
103;3905069220;2932
104;3327122348;2444
105;7709222373;8357
106;7705772224;7933
107;4214000252;3291
108;7830000426;10715
109;7705989700;7959
110;6670381056;6184
111;7826156685;10700
112;1650161470;750
113;5007067042;3905
114;7708797192;8330
115;7717654289;8981
116;7804069580;10268
117;7720522853;9110
118;6367052981;5801
119;7730117815;9707
120;7704216778;7654
121;6025009824;5314
122;7413000630;6880
123;1659091192;934
124;7743101210;10027
125;7701753020;7253
126;7706241963;8003
127;7734003657;9881
128;5404151283;4706
129;6164266561;5501
130;7703068485;7426
131;7709770002;8432
132;7704537299;7743
133;7705492690;7897
134;7728115183;9542
135;5904123809;5210
136;7724338125;9292
137;5604000700;4962
138;4223035452;3384
139;6234131659;5633
140;4214033674;3303
141;7701350084;7218
142;7701380579;7223
143;7101006354;6526
144;7708607959;8298
145;7703400608;7483
146;7202197786;6721
147;7703508520;7527
148;7830000970;10716
149;3123100360;2200
150;5245000448;4445
151;7710106212;8493
152;7703374404;7467
153;7725594604;9370
154;7722582752;9214
155;3250521869;2337
156;5047095543;4289
157;7704676655;7768
158;5047149534;4295
159;5044018861;4253
160;2902060361;2090
161;7706092944;7982
162;7736655834;10006
163;4715019631;3705
164;5032292612;4159
165;4027091179;3102
166;7721147115;9137
167;4345217731;3457
168;5262218620;4625
169;5407025576;4776
170;7715034360;8841
171;6671156423;6211
172;1657036630;897
173;7118004789;6665
174;8608049090;10959
175;5260900010;4601
176;7705935687;7953
177;2352044518;1567
178;7713628217;8691
179;7705880068;7944
180;7726044240;9401
181;7703813034;7590
182;5029169023;4077
183;3252005997;2340
184;8300120014;10878
185;7743911253;10082
186;4704012472;3644
187;7721562305;9153
188;7706017070;7969
189;7719723690;9087
190;7606053324;7117
191;7743543232;10050
192;7819301797;10653
193;7728551510;9591
194;7802312751;10212
195;2720030404;1970
196;7705018169;7833
197;5038114542;4202
198;7705098679;7854
199;7704217309;7655
200;4223055709;3390
201;2465102746;1748
202;7714724594;8802
203;7721844807;9167
204;7725776121;9392
205;7712040285;8635
206;7728795958;9612
207;7802772445;10234
208;8709009294;10999
209;7743816842;10071
210;7707803527;8200
212;7601001509;7069
213;3122000300;2185
214;5257003806;4508
215;7704648707;7761
216;7715397999;8861
217;7714037390;8715
218;8609000160;10964
219;7722753969;9227
220;7745000111;10098
221;5603048611;4960
222;1106019518;410
223;7104525439;6551
224;3905011678;2924
225;7701716677;7249
227;7731585968;9822
228;7708678325;8309
229;7717582404;8975
230;7834005168;10743
231;7705705370;7927
232;2309001660;1370
233;2465008567;1740
234;7706277053;8006
235;4028069779;3120
236;4217204769;3348
237;3328434156;2475
238;7706800837;8075
240;5258054000;4525
241;7827004484;10712
242;6829012680;6381
243;1651024807;778
244;7709678550;8420
245;3913009739;2988
246;7729588182;9671
247;3110009570;2167
248;7743580770;10055
249;1831089218;1029
250;7743578549;10054
251;5003116490;3888
252;1655202105;849
253;6606003385;5961
254;6658388288;6074
255;7730710905;9764
256;7726059896;9403
257;7017187800;6462
258;5012000639;3940
259;9701104646;11149
260;6450925977;5847
261;4205000908;3184
262;6623074298;6016
263;6606021264;5966
264;9715010229;11363
265;6167055777;5551
266;7734445616;9906
267;3321020710;2423
268;7702842787;7404
269;7701984274;7272
270;274036993;2015
271;6607000556;5972
272;5262036363;4617
273;5611037405;5027
274;7720403415;9104
275;7714709349;8798
276;5032048798;4131
277;7729607406;9673
278;5021013384;3979
279;4025413896;3071
280;7708525142;8287
281;7710302785;8526
282;7702764909;7393
283;7732121398;9828
284;7118018781;6669
285;7705840940;7939
286;7717625418;8979
287;2328000083;1535
288;7733646084;9868
289;2451000818;1652
290;7447010227;6943
291;8603133326;10932
292;6310000160;5637
293;5032073106;4136
294;7705634425;7920
295;268008010;1945
296;7710044140;8481
297;6166048181;5533
298;4217107518;3336
299;5024177951;4024
300;7725104641;9328
301;7204002873;6770
302;7704630033;7758
303;7730157021;9713
304;1650131524;747
305;264015786;1944
306;7451279527;6995
307;5258056945;4526
308;7731537410;9820
309;4217126359;3338
310;7725216105;9338
311;7709680944;8421
312;7729265128;9638
313;5913001268;5269
314;5047210316;4304
315;7802059185;10199
316;7802849641;10240
317;5406192366;4740
318;9731058933;11532
319;7725806898;9394
320;5020037784;3973
321;7705183476;7865
322;9703017050;11188
323;7704017596;7603
324;7721793895;9162
325;7720261827;9097
326;7729481489;9662
327;3528079131;2619
328;7403005526;6863
329;7838395215;10768
330;5032277847;4156
331;7729705354;9677
332;5024048000;3991
333;7803002209;10250
334;7715568411;8867
335;7713587786;8687
336;7701215046;7201
337;6671163413;6213
338;4217102358;3335
339;3808208157;2843
340;7802348846;10215
341;7706806518;8076
342;7842337791;10855
343;7729418511;9649
344;2323025302;1519
345;7733556360;9858
346;7701791321;7258
347;7722489009;9203
348;3913501820;2993
349;7718134701;9011
350;1434045743;511
351;7708632345;8303
352;8904047896;11029
353;7704492055;7736
354;7714617793;8787
355;5260200603;4568
356;7713085659;8659
357;6901067107;6394
358;6162015019;5449
359;7714626332;8788
360;2310175205;1408
361;7725497022;9362
362;7714186804;8735
363;7804526950;10291
364;2225074005;1281
365;7017405576;6482
366;7113502396;6642
367;7714790325;8807
368;7743543761;10051
369;5075018950;4365
370;7701639976;7244
371;7743856281;10075
372;7810245481;10421
373;7743001840;10018
374;2310040800;1397
375;7728551528;9592
376;7705133757;7858
377;3913011336;2989
378;7704582421;7750
379;7713688946;8695
380;7743792870;10066
381;7714572888;8785
382;7702521529;7369
383;7708591995;8295
384;6674121179;6260
385;6671197148;6218
386;7841322249;10834
387;7710045520;8483
388;411075740;3158
389;7709259743;8360
390;5045016560;4262
391;7718979307;9050
392;5448100656;4864
393;7702038150;7281
394;5047076050;4286
395;6685099285;6300
396;2370000496;1600
397;7734443270;9905
398;7022000310;6506
399;7729355029;9641
400;5009072150;3923
401;5074053542;4360
402;6151012111;5403
403;6670061296;6171
404;8910002621;11044
405;7811365157;10493
406;6165161667;5518
407;5257056036;4513
408;7704548011;7745
409;5036065113;4184
410;7017094419;6451
411;7726311464;9414
412;7727162286;9473
413;7826087713;10694
414;5247004695;4452
415;4234001215;3404
416;7705739450;7929
417;7743931676;10083
419;7706284124;8007
420;3122503751;2188
421;7701885820;7264
422;7721040281;9134
423;7704218694;7658
424;7704784450;7789
425;7728278043;9563
426;7703623202;7548
427;7721546864;9150
428;7705060700;7853
429;5047085094;4288
430;7703270067;7453
431;7712107050;8644
432;5408130693;4806
433;7713056834;8654
434;4716016979;3712
435;7707743204;8191
436;3906072056;2941
437;7728731619;9608
438;5047045359;4277
439;4205049090;3197
440;1650032058;740
441;7719269331;9070
442;7707016368;8084
443;7728674093;9602
444;6606013640;5963
445;7703608910;7546
446;7705541227;7911
447;8904002359;11021
448;6320002223;5744
449;5911029807;5265
450;7723199790;9244
451;7715354473;8859
452;5036045205;4181
453;7707017509;8085
454;7713076301;8657
