;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
361;65.12;919
362;46.51.2;673
363;46.69.5;689
364;47.11;722
365;46.71;693
366;10.62.1;130
367;29.10;430
368;47.1;721
369;27.51;381
370;46.4;646
371;46.51;672
372;70.10.2;978
373;63.11.1;888
374;49.50.11;802
375;47.71.1;762
376;45.11;563
377;46.21;607
378;73.11;1019
379;70.22;980
380;47.30;741
381;42.21;532
382;46.90;720
383;52.29;845
384;47.11.2;724
385;46.72.2;699
386;35.14;496
387;65.12.2;921
388;70.10.2;978
389;29.10;430
390;10.82.2;140
391;47.41;743
392;51.10.1;813
393;49.31.24;792
394;47.59;755
395;46.77;718
396;19.20;205
397;47.11;722
398;06.10.1;64
399;47.78.9;772
400;46.21;607
401;46.34.21;628
402;19.20;205
403;24.44;301
404;06.10;63
405;46.51;672
406;46.21;607
407;47.25.1;736
408;51.21.1;816
409;35.12;493
410;46.38;636
411;21.20;239
412;71.12.2;989
413;47.11;722
414;24.20;293
415;46.71;693
416;10.82;139
417;47.25.1;736
419;35.14;496
420;46.33.3;624
421;71.12.2;989
422;25.11;310
423;47.11;722
424;35.11;488
425;70.22;980
426;45.1;562
427;47.91.2;777
428;46.35;630
429;47.11;722
430;47.19;726
431;45.11.1;564
432;46.46;661
433;66.2;940
434;35.12;493
435;46.71.2;695
436;29.10;430
437;46.71.2;695
438;46.46.1;662
439;05.10.13;55
440;29.10.4;434
441;46.43.1;653
442;45.1;562
443;45.11.1;564
444;24.44;301
445;46.43;652
446;70.10.1;977
447;06.20;65
448;29.10.2;432
449;20.15;216
450;46.1;582
451;70.22;980
452;47.11;722
453;70.10.2;978
454;61.20.1;877
455;45.1;562
456;46.35;630
457;61.10;873
458;29.1;429
459;45.11.2;565
460;46.51;672
461;64.99.11;910
462;64.20;897
463;35.14;496
464;65.12;919
465;47.59;755
466;30.30.32;459
467;20.15;216
468;47.43;745
469;47.11;722
470;51.10.1;813
471;06.20;65
472;47.42;744
473;19.20;205
474;46.35;630
475;49.50.1;801
476;24.10.4;288
477;70.22;980
478;06.10.1;64
0;35.30.1;503
1;01.11;1
2;46.63;681
3;66.11.1;925
5;49.4;796
6;10.81;136
7;29.10.5;435
8;72.19;1012
9;94.11;1163
10;45.11.2;565
11;52.29;845
13;64.99.3;913
14;94.20;1166
15;72.19;1012
16;84.11.21;1071
17;10.82.2;140
19;85.22;1109
20;41.20;528
