;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
2710;17.29;199
2711;01.11.1;2
2712;46.46;661
2713;63.11.1;888
2714;42.12;530
2715;64.91;900
2717;51.10.2;814
2718;64.99;908
2719;46.72.21;700
2720;20.13;210
2721;85.22;1109
2722;35.30.4;508
2723;84.23.11;1091
2724;45.3;577
2725;71.12.2;989
2726;24.44;301
2727;84.11.1;1066
2728;90.04;1136
2729;03.11;44
2730;85.14;1107
2731;42.11;529
2732;64.20;897
2733;16.23.1;190
2734;72.19;1012
2735;94.99;1170
2736;10.81;136
2737;64.20;897
2738;66.30;945
2739;46.21;607
2740;41.20;528
2741;85.14;1107
2743;29.32;439
2744;49.31.2;788
2745;30.11;442
2746;41.2;527
2747;84.2;1087
2748;21.20.1;240
2749;64.19;896
2750;85.22;1109
2751;85.22;1109
2753;68.32.2;970
2754;71.20.8;1009
2755;64.99.3;913
2756;84.11.12;1068
2757;07.10.2;70
2758;84.11.12;1068
2759;64.91;900
2760;84.11.21;1071
2761;64.99.1;909
2762;23.32;261
2764;64.19;896
2765;72.19;1012
2766;77.11;1031
2767;47.30;741
2768;71.12.2;989
2769;10.51;119
2770;70.22;980
2771;84.23.32;1097
2772;46.34;625
2773;46.6;676
2774;62.02;881
2775;64.19;896
2776;80.10;1052
2777;68.20;956
2778;73.20;1021
2779;62.01;880
2781;63.11;887
2782;85.22;1109
2783;46.72.21;700
2784;26.51.6;361
2785;46.71.1;694
2786;46.34;625
2787;84.11.3;1074
2788;72.19;1012
2789;62.01;880
2792;84.11.21;1071
2793;77.40;1043
2794;84.11.21;1071
2795;69.10;972
2796;94.99;1170
2798;41.20;528
2799;68.20.2;957
2800;69.10;972
2801;35.14;496
2802;46.69;684
2803;70.10.2;978
2804;64.9;899
2805;46.90;720
2806;28.15;396
2807;56.30;858
2808;84.11.12;1068
2809;85.21;1108
2811;10.13;99
2812;65.12;919
2813;46.69.1;685
2814;84.11.22;1072
2815;46.17.1;599
2816;27.12;373
2817;70.22;980
2818;64.99.3;913
2819;68.20.2;957
2820;70.22;980
2821;85.22;1109
2822;68.10;950
2823;46.34;625
2824;32.99.8;478
2825;70.22;980
2826;68.20;956
2827;64.19;896
2828;01.7;36
2829;10.61.2;127
2830;62.01;880
2831;23.13;255
2832;19.20;205
2833;30.20.9;452
2834;01.47;25
2835;05.10.15;57
2836;86.10;1121
2837;70.10;976
2838;28.92;424
2839;28.93;426
2840;84.11.3;1074
2841;77.11;1031
2842;62.09;885
2844;27.12;373
2845;84.11.21;1071
2846;10.61;126
2847;71.12;984
2848;28.92;424
2849;68.2;955
2850;01.11;1
2851;85.22;1109
2852;68.20;956
2853;46.12.3;587
2854;88.99;1132
2855;10.62.1;130
2856;38.1;515
2857;84.23.31;1096
2858;84.23.13;1093
2859;10.81.1;137
2860;73.20.1;1022
2861;70.10.1;977
2862;68.20;956
2863;42.11;529
2866;94.99;1170
2868;01.46;24
2869;84.11.3;1074
2870;52.23.11;840
2871;64.99;908
2872;72.19;1012
2873;25.11;310
2874;51.10.1;813
2875;52.10.3;821
2876;23.61;271
2877;77.39.29;1042
2878;84.11.21;1071
2879;70.10;976
2880;46.71;693
2881;52.29;845
2882;46.32.1;619
2883;71.12;984
2884;68.32;968
2885;63.11.1;888
2887;10.71;131
2888;84.11.1;1066
2889;22.23;249
2890;68.31;960
2891;66.19.4;935
2892;10.82.2;140
2893;01.61;33
2894;92.13;1149
2895;94.99;1170
2896;64.9;899
2897;43.39;553
2898;46.71;693
2899;28.92;424
2900;72.19;1012
2901;55.10;851
2902;82.30;1060
2903;49.41;797
2904;01.50;31
2905;43.22;548
2906;84.11.21;1071
2907;06.10.1;64
2908;68.32.1;969
2909;26.51.1;357
2910;05.10.15;57
2911;71.12.3;990
2912;90.01;1134
2913;64.91;900
2914;94.12;1164
2915;21.20;239
2916;06.10;63
2917;70.22;980
2918;27.11;371
2919;28.13;394
2920;64.19;896
2921;64.20;897
2922;71.12.3;990
2923;84.11.22;1072
2924;46.36.1;632
2926;52.24.2;844
2927;71.12.2;989
2928;68.20;956
2929;49.20;783
2930;94.20;1166
2931;84.13;1086
2932;20.59;231
2933;84.23.17;1094
2934;01.11.1;2
2935;33.12;480
2936;79.90.1;1051
2937;35.11.1;489
2938;10.51.9;123
2939;65.12;919
2940;66.2;940
2941;29.10;430
2942;45.11;563
2943;46.46;661
2944;84.11.3;1074
2945;84.24;1099
2946;71.12;984
2947;86.90.9;1127
2948;84.11.21;1071
2951;62.09;885
2952;25.99;333
2953;64.19;896
2954;01.11;1
2955;45.32;580
2956;52.23;838
2957;91.02;1141
2958;38.1;515
2959;46.69;684
2960;72.19;1012
2961;09.10.1;90
2962;27.40;380
2963;51.10.1;813
2964;84.11.21;1071
2965;45.11;563
2966;30.20.1;446
2967;62.02;881
2968;64.19;896
2969;35.14;496
2970;26.70;367
2971;10.20;106
2972;30.20;445
2973;84.13;1086
2974;94.99;1170
2975;52.24;842
2976;71.12.2;989
2977;84.11.12;1068
2978;11.07.1;161
2980;68.2;955
2981;49.4;796
2982;46.51;672
2983;45.20;572
2984;70.22;980
2985;69;971
2986;06.10.1;64
2987;61.10;873
2988;49.20;783
2989;64.99;908
2990;84.11.21;1071
2992;01.42.11;21
2993;59.11;866
2994;45.31;578
2995;62.01;880
2996;68.20.2;957
2997;84.23.18;1095
2998;64.99;908
2999;71.12.2;989
3001;06.10.1;64
3002;08.11;80
3004;68.20;956
3005;62.01;880
3006;07.29.1;72
3007;64.91;900
3008;84.11.11;1067
3010;70.10.2;978
3012;72.19;1012
3013;68.20.2;957
3014;79.12;1049
3015;72.19;1012
3016;61.1;872
3017;46.51;672
3018;25.99;333
3019;64.99;908
3020;46.69.5;689
3022;45.31.1;579
3023;43.12;541
3024;10.89.8;148
3025;72.19;1012
3026;94.20;1166
3027;72.19;1012
3028;11.01.1;154
3029;90.01;1134
3030;06.10.1;64
3031;70.22;980
3033;69.10;972
3034;52.23.11;840
3035;63.11;887
3036;28.29;407
3037;46.46;661
3038;35.11;488
3039;94.20;1166
3040;70.22;980
3041;35.12;493
3042;49.41;797
3043;68.1;949
3044;46.90;720
3045;85.13;1106
3046;85.21;1108
3047;19.10;203
3048;84.11.2;1070
3049;35.30.3;507
3050;62.01;880
3051;46.69.5;689
3052;64.19;896
3053;68.20;956
3054;23.51;268
3055;09.10.9;92
3056;70.22;980
3058;46.44;657
3059;62.01;880
3060;21.20.2;241
3061;05.10.1;52
3062;72.19;1012
3063;72.20;1015
3064;10.13.1;100
3065;52.29;845
3066;70.22;980
3067;84.11.21;1071
3068;64.99;908
3069;93.19;1156
3070;71.12;984
3071;64.19;896
3072;77.39;1037
3074;68.20;956
3075;20.13;210
3076;86.90.9;1127
3077;84.23.18;1095
3078;11.05;158
3079;84.11.13;1069
3080;41.20;528
3081;94.99;1170
3082;10.91.3;152
3083;94.20;1166
3084;64.19;896
3085;47.19;726
3086;70.22;980
3087;10.5;118
3088;42.11;529
3089;70.22;980
3090;68.10.12;952
3091;71.11.1;983
3092;10.51.3;122
3093;70.22;980
3094;01.11;1
3095;68.32;968
3096;62.01;880
3097;94.12;1164
3098;46.21;607
3099;84.23.17;1094
3100;28.14;395
3101;46.71;693
3102;25.62;324
3103;70.22;980
3105;52.21.24;832
3106;86.10;1121
3107;62.02.9;882
3108;10.11;95
3109;01.41;18
3110;64.99;908
3111;84.11.12;1068
3112;24.44;301
3113;66.11.1;925
3114;91.04.1;1144
3115;46.46.1;662
3116;23.61;271
3117;62.09;885
3118;99.00;1181
3119;19.20;205
3120;73.11;1019
3121;43.39;553
3122;24.33;296
3123;85.41;1112
3124;84.11.12;1068
3125;93.13;1155
3126;41.20;528
3127;41.20;528
3128;91.02;1141
3129;45.31.1;579
3130;84.11.4;1080
3131;70.10;976
3132;52.24;842
3133;62.01;880
3134;64.99;908
3135;25.40;320
3136;94.11;1163
3137;28.29;407
3138;68.32.1;969
3139;46.34;625
3140;84.11.12;1068
3141;71.12.3;990
3142;10.92;153
3143;73.11;1019
3144;94.99;1170
3145;27.32;378
3146;55.10;851
3147;01.41;18
3148;16.23;189
3149;63.11.1;888
3151;68.20.2;957
3152;52.10;818
3153;52.10.3;821
3154;52.10;818
3155;41.2;527
3156;10.51.9;123
3157;73.11;1019
3159;69.10;972
3161;19.20;205
3162;72.19;1012
3163;63.11;887
3164;62.01;880
3165;24.44;301
3166;84.11.11;1067
3167;70.10.1;977
3168;63.11.1;888
3169;85.22;1109
3170;68.32.1;969
3171;73.11;1019
3172;93.19;1156
3174;01.50;31
3175;46.21;607
3176;82.99;1063
3177;82.30;1060
3178;25.61;323
3179;94.99;1170
3180;01.19.2;11
3181;10.51.1;120
3182;49.50.1;801
3183;46.73;702
3184;46.90;720
3185;49.31.23;791
3187;26.11.9;341
3188;91.04;1143
3189;46.71;693
3190;91.01;1140
3191;29.20;436
3192;85.21;1108
3193;16.10.1;182
3194;68.32.1;969
3195;64.92.1;903
3196;46.52;674
3197;52.24;842
3198;84.11.3;1074
3199;24.45;302
3200;25.61;323
3201;71.12.2;989
3204;64.19;896
3205;64.92;902
3206;72.19;1012
3207;20.15;216
3208;85.22;1109
3209;41.20;528
3210;62.02;881
3213;93.19;1156
3214;10.5;118
3215;84.11.21;1071
3216;59.14;868
3217;46.3;613
3218;10.9;149
3219;47.2;728
3220;13.92;168
3221;84.13;1086
3222;24.10;284
3223;64.91;900
3224;01.13.12;5
3225;68.20;956
3227;29.32;439
3229;70.10.2;978
3230;73.20.1;1022
3231;94.99;1170
3232;73.11;1019
3233;35.11.4;492
3234;71.12.2;989
3235;84.11.21;1071
3236;27.40;380
3238;46.69;684
3239;68.32;968
3240;46.21;607
3241;68.20.2;957
3242;52.24.2;844
3243;84.11.21;1071
3244;43.2;546
3245;28.25;405
3246;84.11.4;1080
3247;01.46;24
3249;50.30;808
3250;61.10;873
3251;93.1;1152
3253;60.20;871
3254;10.86;144
3255;63.11.1;888
3257;84.11.21;1071
3258;70.22;980
3259;10.81;136
3260;84.11.3;1074
3261;01.47;25
3262;84.11.3;1074
3263;46.73;702
3264;16.10;181
3265;69.10;972
3266;86.10;1121
3267;64.9;899
3268;84.11.12;1068
3269;06.20;65
3270;33.15;483
3271;68.20.2;957
3272;05.10.2;59
3273;70.10.2;978
3274;46.46;661
3276;35.12;493
3277;62.01;880
3278;01.70;37
3279;25.73;326
3280;65.12;919
3281;52.10;818
3282;41.20;528
3283;64.19;896
3284;52.10;818
3286;46.21;607
3287;94.12;1164
3288;36.00;511
3289;64.99.1;909
3290;20.16;219
3291;46.4;646
3292;70.10;976
3293;03.11;44
3294;01.11.1;2
3295;35.12;493
3296;62.01;880
3298;01.47;25
3299;32.12.5;470
3300;68.20;956
3301;84.24;1099
3302;64.99.1;909
3303;28.92;424
3304;93.11;1153
3305;49.41;797
3306;68.20;956
3307;52.29;845
3308;69.10;972
3309;94.99;1170
3310;73.20;1021
3311;49.50.2;803
3314;71.1;981
3315;20.13;210
3316;45.31;578
3317;69.20;973
3318;05.10.12;54
3319;53.20.3;849
3320;41.20;528
3321;41.2;527
3322;01.41;18
3323;46.31;614
3324;56.29;857
3325;94.12;1164
3326;66.30;945
3328;58.19;865
3330;46.90;720
3331;35.12;493
3332;46.46;661
3333;64.19;896
3334;86.90.4;1126
3335;49.20;783
3336;94.11;1163
3337;94.99;1170
3338;58.11;860
3339;05.20.11;61
3340;84.11.21;1071
3341;01.41;18
3342;64.9;899
3343;47.19;726
3344;71.1;981
3345;60.20;871
3346;68.32.1;969
3347;20.15;216
3348;70.10.2;978
3350;85.41.91;1115
3351;29.32;439
3352;35.12;493
3353;10.62.1;130
3354;25.30.2;317
3355;01.25.1;15
3356;85.22;1109
3357;84.11.13;1069
3358;10.41.2;115
3359;60.20;871
3360;84.11.13;1069
3361;91.02;1141
3362;28.14;395
3363;07.29.32;74
3364;84.11.21;1071
3365;84.11.11;1067
3366;30.20.2;447
3368;25.61;323
3369;05.10.11;53
3370;64.99;908
3371;06.10.1;64
3372;60.20;871
3373;46.75;712
3374;84.11.12;1068
3375;28.92;424
3376;85.21;1108
3378;28.25.1;406
3379;20.41;226
3380;65.12;919
3381;16.1;180
3382;30.20.33;450
3383;69.10;972
3384;68.31;960
3385;90.04.2;1138
3386;47.71;761
3388;11.01.4;155
3389;26.30.5;351
3390;47.71;761
3391;52.21.24;832
3392;68.20;956
3393;01.47;25
3394;64.99;908
3395;43.99;555
3396;84.23.18;1095
3397;10.41.5;116
3398;82.91;1061
3399;46.71;693
3400;66.29;943
3401;66.19.62;938
3402;69.10;972
3403;28.92;424
3406;64.19;896
3407;65.30;923
3408;93.19;1156
3409;71.12;984
3410;46.75;712
3411;66.30.6;947
3412;28.25;405
3413;46.49.42;670
3414;73.11;1019
3415;49.20;783
3416;71.12.2;989
3417;17.22;197
3419;70.10.2;978
3420;68.10;950
3421;71.2;1002
3422;62.0;879
3423;46.46.1;662
3424;64.19;896
3425;85.42.2;1118
3426;84.11.3;1074
3427;43.12.3;543
3428;47.11;722
3429;07.29.41;76
3430;46.72.21;700
3431;68.20;956
3432;43.21;547
3433;46.71.2;695
3434;27.90;383
3435;46.49;666
3436;84.11.3;1074
3437;43.99.1;556
3438;85.22;1109
3439;93.29;1159
3441;65.30;923
3443;85.22;1109
3444;84.11.3;1074
3445;70.10;976
3446;47.30;741
3447;86.10;1121
3448;25.29;314
3449;72.19;1012
3451;21.20.1;240
3452;16.21.1;186
3453;84.11.35;1078
3454;22.21;247
3455;82.11;1059
3456;94.99;1170
3457;47.73;765
3459;41.20;528
3460;62.01;880
3461;28.11.1;387
3462;10.51;119
3463;01.13.3;6
3464;52.24.2;844
3465;47.71;761
3466;20.17;220
3467;45.3;577
3468;16.10.1;182
3469;10.12;98
3470;17.12;194
3471;01.11;1
3472;28.22;400
3473;71.11.1;983
3474;94.11;1163
3475;85.22;1109
3476;94.99;1170
3477;58.14;863
3478;84.11.3;1074
3479;85.22;1109
3480;46.43;652
3481;64.19;896
3482;68.32;968
3483;46.49;666
3484;30.30.5;462
3485;24.20;293
3486;78.10;1044
3487;85.41;1112
3489;26.11.2;339
3490;73.20.1;1022
3491;90.0;1133
3492;46.69.2;686
3493;94.99;1170
3494;68.20.2;957
3495;62.01;880
3496;82.99;1063
3497;23.70.3;275
3498;45.19;567
3499;26.11;337
3500;68.3;959
3501;41.10;526
3502;80.10;1052
3503;01.47;25
3504;70.10.1;977
3505;43.99.9;561
3506;62.02;881
3507;09.10.9;92
3508;20.15;216
3509;05.10.15;57
3510;18.12;201
3511;75.00;1030
3512;52.23.11;840
3513;47.1;721
3514;62.09;885
3515;43.39;553
3516;65.12;919
3517;85.21;1108
3518;74.90;1025
3519;25.73;326
3520;43.32.3;552
3521;10.61;126
3522;19.20;205
3523;84.11.3;1074
3524;22.21;247
3525;01.47;25
3526;29.32;439
3527;85.14;1107
3528;52.24.2;844
3529;01.47;25
3530;96.09;1180
3531;73.1;1018
3532;62.02;881
3533;45.11.2;565
3534;70.10.1;977
3535;79.90.1;1051
3536;90.04.3;1139
3538;41.20;528
3540;94.99;1170
3541;85.22;1109
3542;25.62;324
3543;72.19;1012
3544;70.10.2;978
3545;94.20;1166
3546;72.19;1012
3547;84.11.21;1071
3548;85.21;1108
3549;84.11.12;1068
3550;62.01;880
3552;84.11.12;1068
3553;29.32;439
3554;84.11.21;1071
3555;10.1;94
3556;94.12;1164
3557;20.13;210
3558;01.11.1;2
3559;46.38;636
3560;61.20;876
3561;47.30.11;742
3563;11.01.4;155
3564;74.90;1025
3565;19.20;205
3566;27.90;383
3567;28.30.3;414
3568;71.11.1;983
3569;86.21;1122
3570;05.10.13;55
3571;10.41.5;116
3572;68.20.2;957
3573;24.10.6;290
3574;85.21;1108
3575;24.20;293
3576;10.11;95
3577;20.14.7;215
3578;10.13.1;100
3580;68.20.2;957
3581;85.42.9;1119
3583;84.11.21;1071
3584;70.10;976
3585;94.99;1170
3586;84.23.17;1094
3587;56.29;857
3588;68.32.1;969
3589;28.29.6;410
3590;52.21.22;830
3591;70.22;980
3592;91.01;1140
3593;49.41;797
3594;20.42;229
3595;94.11;1163
3597;66.19.6;937
3598;46.71;693
3599;46.72.12;698
3600;68.32;968
3601;64.19;896
3602;36.00.1;512
3603;20.13;210
3604;73.20.1;1022
3606;49.41;797
3608;12.00;163
3610;52.10.3;821
3611;63.11;887
3612;64.99.1;909
3613;46.90;720
3614;68.20;956
3616;85.22;1109
3618;94.12;1164
3619;60.20;871
3620;35.12;493
3621;68.32.2;970
3622;84.11.21;1071
3623;72.19;1012
3624;36.00;511
3625;27.51;381
3626;46.90;720
3627;85.12;1105
3628;65.30;923
3629;72.19.9;1013
3630;94.20;1166
3632;35.11;488
3633;85.21;1108
3634;45.20;572
3635;25.30;315
3636;35.14;496
3637;73.11;1019
3638;58.13;862
3639;24.41;298
3640;52.29;845
3641;17.12;194
3642;52.29;845
3643;85.22;1109
3644;73.11;1019
3645;72.19;1012
3646;63.11.1;888
3648;25.62;324
3649;84.11.21;1071
3650;68.32.1;969
3651;10.5;118
3652;46.71;693
3653;46.22;612
3654;27.32;378
3655;64.19;896
3656;49.41;797
3658;85.21;1108
3659;47.29.11;738
3660;23.13;255
3661;72.19;1012
3662;66.19;934
3663;29.10.5;435
3664;46.71;693
3665;94.12;1164
3666;72.19;1012
3667;68.20.2;957
3668;93.29.2;1160
3669;18.12;201
3670;29.10.5;435
3671;84.11.8;1084
3672;64.19;896
3673;41.20;528
3674;10.82.2;140
3675;84.23.13;1093
3676;10.41.2;115
3677;05.10.2;59
3678;68.32;968
3679;86.10;1121
3680;26.30.6;352
3681;20.14.7;215
3682;46.69;684
3683;84.23.18;1095
3684;84.11.21;1071
3685;71.12.2;989
3687;60.20;871
3688;62.09;885
3689;62.01;880
3691;52.21.22;830
3692;46.75;712
3693;01.11.1;2
3694;23.91;276
3695;46.46.1;662
3696;59.14;868
3697;64.99.4;914
3698;21.20.1;240
3699;46.71.1;694
3700;52.29;845
3701;35.12;493
3702;68.20;956
3703;93.1;1152
3705;69.10;972
3706;68.32;968
3707;68.32;968
3708;46.43.4;656
3710;84.11.21;1071
3711;84.11.21;1071
3712;22.19;244
3713;28.99.9;428
3714;62.01;880
3715;20.15;216
3718;46.44.2;658
3719;46.71;693
3720;58.13;862
3721;85.22;1109
3722;72.19;1012
3723;93.19;1156
3724;64.19;896
3725;52.29;845
3726;32.50;475
3727;11.01.1;154
3728;86.10;1121
3729;73.20;1021
3731;10.72;133
3732;94.99;1170
3733;46.71;693
3734;73.20;1021
3736;52.24;842
3737;41.20;528
3738;17.21;196
3739;85.22;1109
3740;85.42;1116
3741;47.52;748
3742;25.30.1;316
3743;28.92.26;425
3744;52.29;845
3745;56.10;855
3747;25.4;319
3748;82.30;1060
3749;64.19;896
3750;90.04.3;1139
3751;23.32;261
3752;02.20;39
3753;46.46;661
3754;73.11;1019
3755;49.41.1;798
3756;17.23;198
3757;62.0;879
3758;70.10.2;978
3759;64.20;897
3760;70.22;980
3761;46.46;661
3762;69;971
3763;11.02;156
3764;14.12;171
3765;70.22;980
3766;84.25;1100
3768;42.12;530
3769;20.59.5;234
3770;47.19;726
3771;01.47;25
3772;46.90;720
3773;85.21;1108
3774;30.20.4;451
3775;70.10.2;978
3776;85.22;1109
3777;84.11.34;1077
3778;33.12;480
3779;49.41.2;799
3780;62.01;880
3781;35.13;495
3782;46.71;693
3783;46.71;693
3784;52.21.19;827
3785;68.2;955
3786;18.12;201
3787;46.75.2;714
3788;29.1;429
3789;47.30;741
3791;84.11.21;1071
3792;20.30;222
3793;05.10;51
3794;71.11;982
3795;84.11.12;1068
3796;10.72;133
3797;28.99.9;428
3798;46.46.1;662
3800;71.12.3;990
3801;72.19;1012
3802;82.30;1060
3803;01.47;25
3804;77.39.1;1038
3805;43.21;547
3807;20.16;219
3808;69;971
3809;60.20;871
3810;46.46.2;663
3811;25.4;319
3812;84.11.21;1071
3813;23.20;259
3814;68.10;950
3815;93.29;1159
3816;70.10.1;977
3817;27.12;373
3818;69.10;972
3819;30.11;442
3820;69;971
3821;70.22;980
3822;28.93;426
3823;71.12.1;985
3824;72.19;1012
3825;68.20.2;957
3826;85.21;1108
3827;73.20;1021
3828;33.12;480
3829;24.34;297
3830;35.12.1;494
3831;46.51.2;673
3832;46.4;646
3833;41.20;528
3834;70.22;980
3835;46.69.5;689
3836;94.20;1166
3838;63.91;891
3839;45.20;572
3840;70.22;980
3842;93.29.9;1161
3843;43.12.4;544
3844;50.40;810
3845;30.99;464
3846;01.24;13
3847;84.25.9;1102
3848;09.10;89
3849;21.20.1;240
3850;01.41;18
3851;70.22;980
3852;01.41.21;20
3853;52.24;842
3854;10.12;98
3855;46.21.11;608
3856;27.51;381
3857;46.69;684
3858;69.10;972
3859;62.01;880
3860;01.47;25
3862;85.21;1108
3863;84.11.22;1072
3864;85.22;1109
3865;85.22;1109
3866;33.15;483
3867;88.10;1131
3868;94.12;1164
3869;49.31;785
3870;72.1;1011
3871;68.20;956
3873;85.22;1109
3874;64.20;897
3875;52.24;842
3876;23.99.6;282
3877;25.11;310
3878;41.20;528
3879;85.11;1104
3881;72.19;1012
3882;08.11.2;82
3883;10.20;106
3884;94.99;1170
3885;11.02;156
3886;49.41;797
3887;46.69;684
3889;23.99.4;281
3890;03.21;46
3891;41.20;528
3892;94.20;1166
3893;94.12;1164
3894;24.1;283
3895;01.11;1
3896;15.20;179
3898;46.33;621
3900;26.11.3;340
3901;33.19;486
3902;25.11;310
3903;71.12.64;1000
3904;41.20;528
3905;94.12;1164
3906;85.22;1109
3907;55.10;851
3908;01.25;14
3909;17.12;194
3910;85.41.1;1113
3911;43.99.4;557
3912;84.11.21;1071
3913;47.30;741
3914;61.20;876
3915;01.46;24
3916;46.90;720
3917;03.21.2;47
3918;42.21;532
3919;68.20;956
3920;46.61;677
3922;84.30;1103
3923;71.12;984
3924;84.23.32;1097
3925;49.41;797
3926;28.92;424
3928;46.71.2;695
3930;85.21;1108
3931;46.73;702
3932;46.19;605
3933;85.11;1104
3934;64.99;908
3935;85.22;1109
3936;84.11.21;1071
3937;77.40;1043
3938;84.11.3;1074
3939;66.11;924
3940;94.20;1166
3941;10.52;124
3942;21.20.1;240
3943;84.11.21;1071
3944;72.20;1015
3945;72.19;1012
3946;72.19;1012
3947;85.14;1107
3948;77.40;1043
3949;46.19;605
3950;46.73.4;705
3951;84.11.21;1071
3952;85.21;1108
3953;46.71;693
3954;84.11.35;1078
3955;20.42;229
3956;69;971
3957;70.22;980
3958;05.20.11;61
3959;22.21;247
3960;52.29;845
3961;38.32.2;520
3962;68.20.2;957
3963;84.24;1099
3965;46.46;661
3966;41.20;528
3968;26.11.9;341
3969;77.39.29;1042
3970;25.50.1;322
3971;01.50;31
3972;62.01;880
3973;64.99;908
3974;06.10.1;64
3975;56.10;855
3976;29.10.2;432
3977;85.41;1112
3978;28.11.1;387
3980;23.63;274
3981;47.11;722
3982;29.32;439
3983;84.11.11;1067
3984;70.10.2;978
3985;47.19;726
3986;25.11;310
3987;85.14;1107
3988;94.20;1166
3989;68.3;959
3990;49.31;785
3992;63.11.1;888
3993;84.11.21;1071
3994;70.22;980
3995;84.11.21;1071
3996;70.22;980
3997;70.22;980
3998;20.17;220
3999;45.3;577
4001;10.51;119
4002;42.11;529
4003;68.32;968
4004;86.10;1121
4005;46.42;648
4006;72.19;1012
4007;85.14;1107
4009;94.12;1164
4010;71.12.3;990
4011;46.49;666
4013;64.99;908
4015;62.01;880
4016;62.01;880
4017;71.1;981
4018;46.90;720
4020;85.22;1109
4021;16.24;191
4022;42.11;529
4024;46.46;661
4025;30.2;444
4027;94.12;1164
4028;46.61;677
4029;62.01;880
4030;64.99;908
4031;69.20;973
4032;46.46;661
4033;70.10;976
4034;72.19;1012
4035;71.12.2;989
4036;52.24;842
4037;46.73.6;707
4038;16.10.1;182
4039;64.99.1;909
4040;20.41;226
4041;27.52;382
4042;27.11;371
4043;79.11;1048
4044;10.13;99
4045;05.10.13;55
4046;84.12;1085
4047;33.16;484
4048;62.02;881
4049;46.52;674
4050;84.23.32;1097
4051;46.21.11;608
4052;46.73.6;707
4053;84.11.22;1072
4054;46.61.1;678
4055;84.23.13;1093
4056;30.20.9;452
4058;69;971
4059;42.11;529
4060;11.02;156
4061;10.91.3;152
4062;58.13;862
4063;85.14;1107
4064;85.22;1109
4065;46.32.1;619
4066;62.02;881
4067;94.99;1170
4068;58.14;863
4069;94.11;1163
4071;94.12;1164
4072;94.12;1164
4073;46.51.2;673
4075;38.1;515
4076;38.11;516
4077;10.83;141
4078;46.71;693
4079;64.19;896
4080;49.41;797
4081;19.20;205
4082;19.20;205
4084;10.82.2;140
4085;52.23.11;840
4086;27.31;377
4087;85.42;1116
4088;01.47;25
4089;63.12;889
4090;26.11;337
4091;33.15;483
4092;73.20.1;1022
4094;94.99;1170
4097;43.21;547
4098;05.10.11;53
4099;72.19;1012
4100;29.10.2;432
4101;66.12.3;933
4102;58.13;862
4103;10.91.3;152
4104;46.69;684
4105;10.91.1;151
4106;64.20;897
4108;84.11.3;1074
4109;52.22.18;836
4111;52.24.2;844
4112;84.23.1;1090
4113;26.70;367
4114;10.51.9;123
4115;10.82;139
4117;52.23.11;840
4118;62.01;880
4119;35.11;488
4120;06.20;65
4122;19.20;205
4123;50.20;807
4124;72.19;1012
4125;22.22;248
4126;47.78.5;770
4127;41.20;528
4128;46.72;697
4129;47.59.1;756
4130;84.23.13;1093
4131;86.10;1121
4132;41.2;527
4134;43.29;549
4135;71.1;981
4136;49.41;797
4137;22.19;244
4139;46.21;607
4140;41.20;528
4141;84.11.21;1071
4142;46.36;631
4143;94.11;1163
4144;42.21;532
4145;62.01;880
4146;52.22;833
4147;84.11.21;1071
4149;68.20;956
4150;70.10.1;977
4151;84.11.12;1068
4152;42.11;529
4153;09.10.1;90
4154;84.11.12;1068
4155;84.1;1064
4156;47.11;722
4157;38.1;515
4158;85.22;1109
4159;36.00.2;513
4160;30.30.3;458
4161;05.10.1;52
4162;77.39;1037
4163;10.73.1;134
4164;25.40;320
4165;05.10;51
4166;85.11;1104
4167;64.20;897
4168;62.01;880
4169;72.19;1012
4170;42.11;529
4171;11.07;160
4172;93.19;1156
4173;88.10;1131
4174;87.90;1130
4175;45.31;578
4176;52.21.22;830
4177;21.20.1;240
4178;64.99;908
4179;70.22;980
4180;93.29.9;1161
4181;78.10;1044
4182;10.51.1;120
4183;06.10.1;64
4184;88.10;1131
4185;28.30.2;413
4186;93.19;1156
4187;46.19;605
4188;84.11.3;1074
4189;84.11.21;1071
4190;41.10;526
4191;61.20;876
4192;84.11.12;1068
4193;85.22;1109
4194;21.20.1;240
4195;73.20.1;1022
4196;10.5;118
4198;28.30.5;415
4199;71.12;984
4200;46.71;693
4201;01.46;24
4202;20.14.1;212
4203;10.51.1;120
4204;02.40.2;42
4205;94.99;1170
4206;94.12;1164
4207;84.23.32;1097
4209;64.91;900
4210;08.99.32;87
4211;70.10.2;978
4212;84.11.21;1071
4213;06.10.1;64
4214;07.29.41;76
4216;69.10;972
4217;46.21.11;608
4218;05.10.13;55
4219;27.11.1;372
4220;58.13;862
4221;84.11.11;1067
4222;66.19;934
4223;47.11.3;725
4224;42.11;529
4225;43.21;547
4226;26.51.2;358
4227;05.10.12;54
4228;45.20.2;574
4229;20.41.3;228
4230;06.20;65
4231;86.23;1123
4232;84.23.17;1094
4233;43.12.3;543
4234;72.19;1012
4235;64.20;897
4236;10.51.1;120
4238;78.20;1045
4239;41.20;528
4240;94.99;1170
4241;64.19;896
4242;68.20.2;957
4244;41.20;528
4246;70.10.2;978
4247;64.19;896
4248;46.72;697
4249;93.19;1156
