;company_name;Полное название организации;Английское название;Адрес;Уставный капитал;ОКФС;ОКОПФ;ОКОГУ;ИНН;ОГРН;КПП;ОКАТО;ОКПО;ОКТМО;main_okved_id;main_okved_name;second_okveds
0;ВИНЛАБ КОМСОМОЛЬСК, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИНЛАБ КОМСОМОЛЬСК""";"OOO ""VINLAB KOMSOMOLSK""";Хабаровский кр., г. Хабаровск, ул. Муравьева-Амурского, д. 4 офис 633;25 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2721236736;1182724010435;272101001;Хабаровский край, Хабаровск, Центральный;28509389;Хабаровский край, Городские округа Хабаровского края, г Хабаровск;47.25;Торговля розничная напитками в специализированных магазинах;{'Торговля оптовая мясом и мясными продуктами': '46.32'}
1;ДОН-СПОРТ БИРЮЗОВА, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОН-СПОРТ БИРЮЗОВА""";"OOO ""DON-SPORT BIRYUZOVA""";г. Москва, пер. 1-Й Зачатьевский, д. 5;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7704852413;5137746177256;770401001;Город Москва столица Российской Федерации город федерального значения, Центральный, Хамовники;26129211;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Хамовники;93.11;Деятельность спортивных объектов;{'Копирование записанных носителей информации': '18.20'}
2;ПРОФКОМ ИПКОН РАН;МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ - ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ РАБОТНИКОВ ИНСТИТУТА ПРОБЛЕМ КОМПЛЕКСНОГО ОСВОЕНИЯ НЕДР РАН;PROFKOM IPKON RAN;г. Москва, туп. Крюковский, д. 4;;Собственность профессиональных союзов;Профсоюзные организации;Региональные и местные общественные объединения;7722102653;1037739236424;772201001;Город Москва столица Российской Федерации город федерального значения, Юго-Восточный, Лефортово;52604397;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Лефортово;94.20;Деятельность профессиональных союзов;
3;АЛЬФАСТРАХОВАНИЕ, НОВОСИБИРСКИЙ ФЛ АО;;;;;;;;;;;;;;;;
4;СПЕЦКОМПЛЕКТ СЕВЕРО-ЗАПАД, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦКОМПЛЕКТ СЕВЕРО-ЗАПАД""";"OOO ""SPETSKOMPLEKT SEVERO-ZAPAD""";г. Санкт-Петербург, вн.тер.г. муниципальный округ Волковское, ул. Софийская, д. 14, литера А, часть помещ. 9-Н, помещ. 80,81,82;1 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7805741332;1197847014573;781601001;Город Санкт-Петербург город федерального значения, Фрунзенский;35606377;Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 300 000), муниципальный округ Волковское;46.42;Торговля оптовая одеждой и обувью;{'Деятельность агентов по оптовой торговле универсальным ассортиментом товаров': '46.19'}
5;МРФ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МРФ""";"OOO ""MRF""";Московская обл., г. Королёв, ул. К.Д.Трофимова (Юбилейный Мкр), д. 4 кв. 13;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5018201035;1195081054618;501801001;Московская область, Королев;40975415;Московская область, Городские округа Московской области, Королев;63.11;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;{'Деятельность в области связи на базе проводных технологий': '61.10'}
6;СЕТЛЕС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЛЕС""";SETLES LIMITED LIABILITY COMPANY;Карелия респ., Питкярантский район, пос. Импилахти, шоссе Сортавальское, д. 70;563 220 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1005140010;1021000905529;100501001;Республика Карелия, Питкярантский район, п Импилахти;24896389;Карелия (Республика), Муниципальные округа Республики Карелия, Питкярантский муниципальный округ, п Импилахти;16.10.1;"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины";{'Лесозаготовки': '02.20'}
7;ОКБ МИКРОН, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПЫТНО-КОНСТРУКТОРСКОЕ БЮРО МИКРОН""";"OOO ""OKB MIKRON""";Красноярский кр., Емельяновский район, с. Шуваево, ул. Промышленная, д. ЗД. 5 стр. 1;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2461212522;1112468008443;241101001;Красноярский край, Емельяновский район, Шуваевский, с Шуваево;90373319;Красноярский край, Муниципальные районы Красноярского края, Емельяновский мун. р-н, Сельские поселения Емельяновского муниципального района, Шуваевский с/с, с Шуваево;28.41;Производство металлообрабатывающего оборудования;{'Производство строительных металлических конструкций и изделий': '25.1'}
8;УДК СНГ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УОЛТ ДИСНЕЙ КОМПАНИ СНГ""";THE WALT DISNEY COMPANY CIS LIMITED LIABILITY COMPANY;г. Москва, бульвар Новинский, д. 8 офис ЭТАЖИ 11-12;25 000;Собственность иностранных юридических лиц;Общества с ограниченной ответственностью;Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства;7710608533;1057749153252;770401001;Город Москва столица Российской Федерации город федерального значения, Центральный, Арбат;79387628;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Арбат;60.10;Деятельность в области радиовещания;{'Прочие виды полиграфической деятельности': '18.12'}
9;ФЛАГМАНН, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛАГМАНН""";"OOO ""FLAGMANN""";Пермский кр., г. Пермь, ул. Краснова, д. 24 к. Б;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5904157251;1075904001414;590401001;Пермский край, Пермь, Свердловский;98075900;Пермский край, Городские округа Пермского края, Пермский, г Пермь;81.22;Деятельность по чистке и уборке жилых зданий и нежилых помещений прочая;{'Ремонт машин и оборудования': '33.12'}
10;ВВППК, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГО-ВЯТСКАЯ ПРИГОРОДНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""";JSC «VVPPK»;Нижегородская обл., г. Нижний Новгород, шоссе Московское, д. 6А;300 000;Смешанная российская собственность с долями федеральной собственности и собственности субъектов Российской Федерации;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5257111223;1095257004457;525701001;Нижегородская область, Нижний Новгород, Канавинский;63256019;Нижегородская область, Городские округа Нижегородской области, г Нижний Новгород;49.31.1;Перевозка пассажиров железнодорожным транспортом в пригородном сообщении;{'Торговля розничная вне магазинов, палаток, рынков': '47.9'}
11;БАВАРИЯ, ООО ГК ПД;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ""ПИВОВАРЕННЫЙ ДОМ БАВАРИЯ""";"OOO GK PD ""BAVARIYA""";Северная Осетия - Алания респ., г. Владикавказ, ул. Тельмана, д. 45;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1516614020;1071516001810;151301001;Республика Северная Осетия-Алания, Владикавказ, Промышленный;81576466;Северная Осетия-Алания (Республика), Городские округа Республики Северная Осетия-Алания, г Владикавказ;64.20;Деятельность холдинговых компаний;{'Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур': '01.11'}
12;УПРАВА РАЙОНА ЮЖНОЕ ТУШИНО ГОРОДА МОСКВЫ;УПРАВА РАЙОНА ЮЖНОЕ ТУШИНО ГОРОДА МОСКВЫ;UPRAVA RAIONA YUZHNOE TUSHINO GORODA MOSKVY;г. Москва, бульвар Яна Райниса, д. 43 к. 1;;Собственность субъектов Российской Федерации;Государственные казенные учреждения субъектов Российской Федерации;Правительства (Администрации) субъектов Российской Федерации;7733150673;1027733020260;773301001;Город Москва столица Российской Федерации город федерального значения, Северо-Западный, Южное Тушино;13527921;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Южное Тушино;84.11.22;Деятельность органов государственной власти субъектов Российской Федерации по осуществлению своих полномочий в городах и районах;
13;НА МОХОВОЙ, ТСЖ;"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""НА МОХОВОЙ""";"TSZH ""NA MOKHOVOI""";Московская обл., г. Дубна, ул. Моховая, д. 13 кв. 804;;Частная собственность;Товарищества собственников жилья;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5010049290;1145010004006;501001001;Московская область, Дубна;39833029;Московская область, Городские округа Московской области, Дубна;68.32;Управление недвижимым имуществом за вознаграждение или на договорной основе;{'Аренда и управление собственным или арендованным недвижимым имуществом': '68.20'}
14;ПРИМОРСКИЙ КРАЕВОЙ СУД;ПРИМОРСКИЙ КРАЕВОЙ СУД;PRIMORSKI KRAEVOI SUD;Приморский кр., г. Владивосток, ул. Фонтанная, д. 53;;Федеральная собственность;Федеральные государственные казенные учреждения;Система федеральных судов общей юрисдикции;2536042694;1022501310248;253601001;Приморский край, Владивосток, Ленинский;02845316;Приморский край, Городские округа Приморского края, Владивостокский, г Владивосток;84.23.13;Деятельность кассационных судов общей юрисдикции, апелляционных судов общей юрисдикции, верховных судов республик, краевых, областных судов, судов городов федерального значения, суда автономной области, судов автономных округов;
15;МСИА, ООО;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МС ИНТЕРМАРК АВТО;OOO MSIA;г. Москва, ул. Обручева, д. 30/1 стр. 2 этаж / пом. / ком. 3/XXIIБ/С №№8 ПО 29;278 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7704668333;1077762679631;772801001;Город Москва столица Российской Федерации город федерального значения, Юго-Западный, Коньково;84023207;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 300 000), муниципальный округ Коньково;77.11;Аренда и лизинг легковых автомобилей и легких автотранспортных средств;{'Торговля автотранспортными средствами': '45.1'}
16;НОРТГАЗ, ЗАО;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРТГАЗ""";"ZAO ""NORTGAZ""";Ямало-Ненецкий а.о., г. Новый Уренгой, микрорайон Славянский, д. 9 этаж 3 каб. 305;1 876 800 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;8904045666;1048900318312;890401001;Тюменская область, Новый Уренгой;18165322;Тюменская область, Муниципальные округа, городские округа Ямало-Ненецкого автономного округа, г Новый Уренгой;06.20;Добыча природного газа и газового конденсата;{'Добыча нефти': '06.10.1'}
17;КУЛИНАРНАЯ ШКОЛА-БОБОНЯНЬ (КЛЕВЕР), МОО;"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ЗДОРОВОГО И ПРАВИЛЬНОГО ПИТАНИЯ ГОРОДА СЫКТЫВКАРА ""КУЛИНАРНАЯ ШКОЛА - БОБОНЯНЬ (КЛЕВЕР)""";"MOO ""KULINARNAYA SHKOLA - BOBONYAN (KLEVER)""";Коми Респ, г.о. Сыктывкар, г Сыктывкар, ул Петрозаводская, д. 27/1, кв. 224;;Собственность общественных объединений;Общественные организации;Региональные и местные общественные объединения;1101164110;1191121001400;110101001;Республика Коми, Сыктывкар;35989361;Коми (Республика), Городские округа Республики Коми, Сыктывкар;94.99;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;{'Деятельность ресторанов и услуги по доставке продуктов питания': '56.10'}
18;АРДМ, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКСИОН-РЕДКИЕ И ДРАГОЦЕННЫЕ МЕТАЛЛЫ""";"AO ""ARDM""";Московская обл, г.о. Солнечногорск, рп Андреевка, лаб. корпус 4, этаж 4, помещ. 400, 401, 402, 403;35 000 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5908046577;1105908001870;504401001;Московская область, Солнечногорск, Андреевка;67295660;Московская область, Городские округа Московской области, Солнечногорск, рп Андреевка;72.19;Научные исследования и разработки в области естественных и технических наук прочие;{'Производство прочих основных органических химических веществ': '20.14'}
19;СТС-АВТОМОБИЛИ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТС-АВТОМОБИЛИ""";"OOO ""STS-AVTOMOBILI""";Новосибирская обл., г. Новосибирск, ул. Большевистская, д. 1 этаж 2;60 320 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5405048673;1195476074640;540501001;Новосибирская область, Новосибирск, Октябрьский;41832416;Новосибирская область, Городские округа Новосибирской области, г Новосибирск;45.11.2;Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах;{'Техническое обслуживание и ремонт легковых автомобилей и легких грузовых автотранспортных средств': '45.20.1'}
20;ЦИФРОВАЯ ЭНЕРГЕТИКА, АССОЦИАЦИЯ;"АССОЦИАЦИЯ ОРГАНИЗАЦИЙ ЦИФРОВОГО РАЗВИТИЯ ОТРАСЛИ ""ЦИФРОВАЯ ЭНЕРГЕТИКА""";"ASSOTSIATSIYA ""TSIFROVAYA ENERGETIKA""";г. Москва, вн.тер.г. муниципальный округ Якиманка, пер 2-й Казачий, д. 11, стр. 1, помещ. 1/3;;Иная смешанная российская собственность;Объединения юридических лиц;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;9705135236;1197700011431;770601001;Город Москва столица Российской Федерации город федерального значения, Центральный, Якиманка;40882665;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Якиманка;94.12;Деятельность профессиональных членских организаций;{'Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий на электронных носителях': '58.11.2'}
21;КУЗБАССЭНЕРГО, АО;КУЗБАССКОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ;KUZBASS POWER AND ELECTRIFICATION OPEN JOINT-STOCK COMPANY;Кемеровская область - Кузбасс, г. Кемерово, проспект Кузнецкий, д. 30;888 975 152;Частная собственность;Непубличные акционерные общества;Приватизированные предприятия;4200000333;1024200678260;420501001;Кемеровская область - Кузбасс, Кемерово, Центральный;00105638;Кемеровская область, Городские округа Кемеровской области - Кузбасса, Кемеровский, г Кемерово;35.11.1;Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций;{'Торговля электроэнергией': '35.14'}
22;МЕЛИОРАЦИЯ-СЕРВИС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЛИОРАЦИЯ-СЕРВИС""";"OOO ""MELIORATSIYA-SERVIS""";Татарстан Респ, м.р-н Сабинский, с.п. Изминское, с Измя, ул Мирная, д. 9, помещ. 2;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1635007716;1081675000770;163501001;Республика Татарстан (Татарстан), Сабинский район, с Измя;85134883;Республика Татарстан, Муниципальные районы Республики Татарстан (Татарстана), Сабинский мун. р-н, Сельские поселения Сабинского муниципального района, Изминское, с Измя;42.91.2;Строительство гидротехнических сооружений;{'Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур': '01.11'}
23;ТОЧКА РОСТА, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОЧКА РОСТА""";JSC «POINT OF GROWTH»;г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Полянка, д. 42, стр. 1, этаж/офис 1/30, помещ/ком III/10;2 225 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;9706021351;1227700002760;770601001;Город Москва столица Российской Федерации город федерального значения, Центральный, Якиманка;74141822;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Якиманка;64.20;Деятельность холдинговых компаний;{'Деятельность инвестиционных фондов и аналогичных финансовых организаций': '64.30'}
24;МЕГАМИКС, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГАМИКС""";"""MEGAMIX""";Волгоградская обл., г. Волгоград, ул. Хрустальная, д. 107 офис 1;2 030 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3442093695;1073459007830;345901001;Волгоградская область, Волгоград, Краснооктябрьский;82006937;Волгоградская область, Городские округа Волгоградской области, г Волгоград;10.91.3;Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов;{'Предоставление услуг в области животноводства': '01.62'}
25;ДАГНЕФТЬ, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАГНЕФТЬ""";"JSC ""DAGNEFT""";Дагестан респ., г. Южно-Сухокумск, ул. Гагарина, д. 4;534 319;Смешанная российская собственность с долей собственности субъектов Российской Федерации;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;0541000600;1020502459713;054901001;Республика Дагестан, Южно-Сухокумск;00135993;Дагестан (Республика), Городские округа Республики Дагестан, г Южно-Сухокумск;06.10.1;Добыча нефти;{'Добыча нефтяного (попутного) газа': '06.10.3'}
26;ЦРТ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР РАЗВИТИЯ ТЕРРИТОРИЙ""";"OOO ""TSRT""";Татарстан респ., Елабужский район, г. Елабуга, ул. Разведчиков, д. 52 офис 12;11 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1646025731;1091674001286;164601001;Республика Татарстан (Татарстан), Елабуга;61815360;Республика Татарстан, Муниципальные районы Республики Татарстан (Татарстана), Елабужский мун. р-н, Городские поселения Елабужского муниципального района, г Елабуга;43.12;Подготовка строительной площадки;{'Строительство жилых и нежилых зданий': '41.20'}
27;СН-МНГГ, ПАО;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЛАВНЕФТЬ-МЕГИОННЕФТЕГАЗГЕОЛОГИЯ""";"PAO ""SN-MNGG""";Ханты-Мансийский Автономный Округ - Югра, г.о. Мегион, г Мегион, ул Нефтеразведочная, д. 2, помещ. 15;1 783 484;Частная собственность;Публичные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;8605005954;1028601354143;860501001;Тюменская область, Мегион;05244899;Тюменская область, Муниципальные районы и городские округа Ханты-Мансийского автономного округа - Югры, Мегион;06.10;Добыча нефти и нефтяного (попутного) газа;{'Добыча нефти': '06.10.1'}
28;ПЛАНЕТА, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАНЕТА""";"OOO ""PLANETA""";Краснодарский кр., г. Краснодар, ул. Одесская, д. 45;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;2310105840;1052305742268;231001001;Краснодарский край, Краснодар, Центральный;78234940;Краснодарский край, Городские округа Краснодарского края, г Краснодар;46.3;Торговля оптовая пищевыми продуктами, напитками и табачными изделиями;{'Торговля оптовая мясом и мясными продуктами': '46.32'}
29;ПРОФИНФОРМЗАЩИТА, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФИНФОРМЗАЩИТА""";"OOO ""PROFINFORMZASHCHITA""";Татарстан респ., Тюлячинский район, с. Тюлячи, ул. Советская, д. 2А;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;1661022728;1081690076038;161901001;Республика Татарстан (Татарстан), Тюлячинский район, с Тюлячи;89190418;Республика Татарстан, Муниципальные районы Республики Татарстан (Татарстана), Тюлячинский мун. р-н, Сельские поселения Тюлячинского муниципального района, Тюлячинское, с Тюлячи;43.21;Производство электромонтажных работ;{'Строительство инженерных коммуникаций для водоснабжения и водоотведения, газоснабжения': '42.21'}
30;БМГ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БМГ""";"OOO ""BMG""";Карачаево-Черкесская респ., г. Черкесск, ул. Пятигорское Шоссе, д. ЗД. 13 кв. 2;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;0917033600;1170917003850;091701001;Карачаево-Черкесская Республика, Черкесск;22068033;Карачаево-Черкесская Республика, Городские округа Карачаево-Черкесской Республики, Черкесский, г Черкесск;43.99;Работы строительные специализированные прочие, не включенные в другие группировки;{'Разборка и снос зданий': '43.11'}
31;Посольство Австралии;;;;;;;;;;;;;;;;
32;ФХСИБ, МУП;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ "" ФАБРИКА ХИМЧИСТКИ, СТИРКИ И БАНЬ""";MUP FKHSIB;Башкортостан респ., Белорецкий район, г. Белорецк, ул. Точисского, д. 1;500 000;Муниципальная собственность;Муниципальные унитарные предприятия;Муниципальные организации;0256000666;1020201623661;025601001;Республика Башкортостан, Белорецк;03030680;Башкортостан (Республика), Муниципальные районы Республики Башкортостан, Белорецкий мун. р-н, Городские поселения Белорецкого муниципального района, г Белорецк;96.04;Деятельность физкультурно-оздоровительная;{'Производство аксессуаров одежды, в том числе платков, шарфов, галстуков, перчаток и прочих аналогичных изделий из текстильных материалов, кроме трикотажных или вязаных': '14.19.23'}
33;ТОМСКРТС, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТОМСКРТС""";TOMSKRTS JSK;Томская обл., г. Томск, пер. Нахановича, д. 4А;100 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7017351521;1145543013880;701701001;Томская область, Томск;20902845;Томская область, Городские округа Томской области, г Томск;35.30.14;Производство пара и горячей воды (тепловой энергии) котельными;{'Передача пара и горячей воды (тепловой энергии)': '35.30.2'}
34;ПЕРМСКИЙ ДСК, ООО ТД;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВЫЙ ДОМ ""ПЕРМСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""";"OOO TD ""PERMSKI DSK""";Пермский кр., г. Пермь, ул. Дачная, д. 10;600 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5907023030;1035901171987;590701001;Пермский край, Пермь, Орджоникидзевский;70848298;Пермский край, Городские округа Пермского края, Пермский, г Пермь;46.73.1;Торговля оптовая древесным сырьем и необработанными лесоматериалами;{'Лесозаготовки': '02.20'}
35;ТВЕРСКОЙ ОБЛАСТИ, ФРП;ФОНД РАЗВИТИЯ ПРОМЫШЛЕННОСТИ ТВЕРСКОЙ ОБЛАСТИ;FRP TVERSKOI OBLASTI;Тверская обл., г. Тверь, проспект Победы, д. 14;;Частная собственность;Фонды;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;6950214724;1176952021971;695001001;Тверская область, Тверь, Центральный;22536505;Тверская область, Городские округа Тверской области, г Тверь;84.13;Регулирование и содействие эффективному ведению экономической деятельности предприятий;{'Издание прочих программных продуктов': '58.29'}
36;ВЛАДИМИРСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ, ГБПОУ ВО;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЛАДИМИРСКОЙ ОБЛАСТИ ""ВЛАДИМИРСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""";"GBPOU VO ""VLADIMIRSKI PEDAGOGICHESKI KOLLEDZH""";Владимирская обл., г. Владимир, ул. Полины Осипенко, д. 13;;Собственность субъектов Российской Федерации;Государственные бюджетные учреждения субъектов Российской Федерации;- образования и науки;3328101372;1033302005076;332801001;Владимирская область, Владимир, Октябрьский;02791514;Владимирская область, Городские округа Владимирской области, г Владимир;85.21;Образование профессиональное среднее;{'Издание книг': '58.11'}
37;ГПБ-ФАКТОРИНГ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГПБ - ФАКТОРИНГ""";"""GPB- FACTORING"" (LLC)";г. Москва, ул. Новочерёмушкинская, д. 63;150 000 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7727712331;1107746158629;772701001;Город Москва столица Российской Федерации город федерального значения, Юго-Западный, Черемушки;65311679;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 300 000), муниципальный округ Черемушки;64.99.5;Предоставление факторинговых услуг;{'Предоставление займов и прочих видов кредита': '64.92'}
38;НИЖЕГОРОДСКОЕ ОБЩЕСТВО ПО ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ, РОО;"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""НИЖЕГОРОДСКОЕ ОБЩЕСТВО ПО ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ""";"ROO ""NIZHEGORODSKOE OBSHCHESTVO PO ZASHCHITE PRAV POTREBITELEI""";Нижегородская обл., Краснооктябрьский район, с. Уразовка, ул. Кооперативная, д. 59;;Собственность общественных объединений;Общественные организации;Региональные и местные общественные объединения;5229995010;1135200000594;522901001;Нижегородская область, Краснооктябрьский район, Уразовский, с Уразовка;10663569;Нижегородская область, Муниципальные округа Нижегородской области, Краснооктябрьский муниципальный округ, с Уразовка;94.99;Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций;
