;company_name;Полное название организации;Английское название;Адрес;Уставный капитал;ОКФС;ОКОПФ;ОКОГУ;ИНН;ОГРН;КПП;ОКАТО;ОКПО;ОКТМО;main_okved_id;main_okved_name;second_okveds
865;ПНППК, ПАО;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРМСКАЯ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ПРИБОРОСТРОИТЕЛЬНАЯ КОМПАНИЯ""";"PAO ""PNPPK""";Пермский кр., г. Пермь, ул. 25 Октября, д. 106;130 379;Частная собственность;Публичные акционерные общества;Приватизированные предприятия;5904000395;1025900906349;590401001;Пермский край, Пермь, Свердловский;07515411;Пермский край, Городские округа Пермского края, Пермский, г Пермь;26.51.1;Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов;{'Прочие виды полиграфической деятельности': '18.12'}
866;СТРОЙСИТИ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСИТИ""";"OOO ""STROISITI""";Ростовская обл., г. Таганрог, ул. Социалистическая, д. 2 офис 410;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;6154563156;1096154004473;615401001;Ростовская область, Таганрог;62267363;Ростовская область, Городские округа Ростовской области, г Таганрог;41.20;Строительство жилых и нежилых зданий;{'Производство прочих отделочных и завершающих работ': '43.39'}
867;БУМ ТЕХНО, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУМ ТЕХНО""";"OOO ""BUM TEKHNO""";г. Санкт-Петербург, проспект Невский, д. 65 литера А пом. 15-Н;500 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7840062647;1177847051920;784001001;Город Санкт-Петербург город федерального значения, Центральный;06599570;Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 300 000), муниципальный округ Владимирский округ;17.12;Производство бумаги и картона;{'Производство машин и оборудования для изготовления бумаги и картона': '28.95'}
868;ФГБОУ ВО ОМГМУ МИНЗДРАВА РОССИИ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ОМСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";OMSK STATE MEDICAL UNIVERSITY OF THE MINISTRY OF HEALTH OF THE RUSSIAN FEDERATION;Омская обл., г. Омск, ул. Ленина, д. 12;;Федеральная собственность;Федеральные государственные бюджетные учреждения;Министерство здравоохранения Российской Федерации;5503018420;1035504001500;550301001;Омская область, Омск, Центральный;01963321;Омская область, Городские округа Омской области, г Омск;85.22;Образование высшее;{'Прочие виды полиграфической деятельности': '18.12'}
869;ЛАНИТ-ХОЛДИНГ, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛАНИТ-ХОЛДИНГ""";"JSC ""LANIT-HOLDING""";г. Москва, вн.тер.г. муниципальный округ Останкинский, проезд Мурманский, д. 14, к. 1, помещ. 1/1;103 400 000;Частная собственность;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;9717160727;1247700308635;771701001;Город Москва столица Российской Федерации город федерального значения, Северо-Восточный, Останкинский;40441105;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Останкинский;64.99.1;Вложения в ценные бумаги и деятельность дилерская;{'Консультирование по вопросам коммерческой деятельности и управления': '70.22'}
870;САБИНСКОЕ МПП ЖКХ, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САБИНСКОЕ МНОГООТРАСЛЕВОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА""";"AO ""SABINSKOE MPP ZHKKH""";Татарстан респ., Сабинский район, пгт. Богатые Сабы, ул. Строителей, д. 1;44 304 000;Муниципальная собственность;Непубличные акционерные общества;Хозяйственные общества, образованные из государственных унитарных предприятий, муниципальных унитарных предприятий, добровольных объединений государственных предприятий;1635005846;1061675000892;163501001;Республика Татарстан (Татарстан), Сабинский район, Богатые Сабы;03317051;Республика Татарстан, Муниципальные районы Республики Татарстан (Татарстана), Сабинский мун. р-н, Городские поселения Сабинского муниципального района, пгт Богатые Сабы;68.32.1;Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе;{'Предоставление услуг в области растениеводства': '01.61'}
871;АВИЛОНА, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВИЛОНА""";"OOO ""AVILONA""";г. Санкт-Петербург, ул. Звенигородская, д. 22 литера А офис 053 пом. 7Н;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7805502454;1097847289803;784001001;Город Санкт-Петербург город федерального значения, Центральный;62981592;Санкт-Петербург, Внутригородские муниципальные образования города федерального значения Санкт-Петербурга (см. также 40 300 000), муниципальный округ Владимирский округ;79.11;Деятельность туристических агентств;{'Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах': '47.11'}
872;ПРАВИТЕЛЬСТВО ХЕРСОНСКОЙ ОБЛАСТИ;ПРАВИТЕЛЬСТВО ХЕРСОНСКОЙ ОБЛАСТИ;PRAVITELSTVO KHERSONSKOI OBLASTI;Херсонская обл., г.о. город Херсон, г. Херсон, ул. 295-й Херсонской Стрелковой Дивизии, д. 1А;;Собственность субъектов Российской Федерации;Государственные казенные учреждения субъектов Российской Федерации;Правительства (Администрации) субъектов Российской Федерации;9500013075;1239500001861;950001001;Херсонская область, Херсон;58293952;Херсонская область, Городские округа Херсонской области, г Херсон;84.11.21;Деятельность органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федерации;
873;ЭССИТИ В Г СОВЕТСКЕ, ФЛ ООО;;;;;;;;;;;;;;;;
874;РЕДЕВЕЛОПМЕНТ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕДЕВЕЛОПМЕНТ""";"OOO ""REDEVELOPMENT""";г. Москва, вн.тер.г. муниципальный округ Черемушки, ул Новочерёмушкинская, д. 38, к. 1, кв. 45;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;3025016128;1153025002932;772701001;Город Москва столица Российской Федерации город федерального значения, Юго-Западный, Черемушки;27044712;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 300 000), муниципальный округ Черемушки;68.20;Аренда и управление собственным или арендованным недвижимым имуществом;{'Строительство жилых и нежилых зданий': '41.20'}
875;КЗТА, ОАО;ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КУНГУРСКИЙ ЗАВОД ТЕЛЕФОННОЙ АППАРАТУРЫ;OAO KZTA;Пермский кр., г. Кунгур, ул. Степана Разина, д. 3 к. Г;6 813;Частная собственность;Публичные акционерные общества;Приватизированные предприятия;5917230766;1025901891950;591701001;Пермский край, Кунгур;12014220;Пермский край, Муниципальные округа Пермского края, Кунгурский муниципальный округ, г Кунгур;26.30.11;Производство средств связи, выполняющих функцию систем коммутации;{'Производство средств связи, выполняющих функцию цифровых транспортных систем': '26.30.12'}
876;АСК, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСК""";"OOO ""ASK""";Московская обл, г.о. Королёв, г Королёв, ул Строителей, д. 15А, этаж 1, помещ. 10;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;5018158340;1135018007134;501801001;Московская область, Королев;11749758;Московская область, Городские округа Московской области, Королев;68.31.12;Предоставление посреднических услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе;{'Строительство жилых и нежилых зданий': '41.20'}
877;ЭРКАФАРМ, ОП АО;;;;;;;;;;;;;;;;
878;НОВЫЙ ДРАМАТИЧЕСКИЙ ТЕАТР, ГБУК Г.МОСКВЫ;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ НОВЫЙ ДРАМАТИЧЕСКИЙ ТЕАТР""";"GBUK G.MOSKVY ""NOVY DRAMATICHESKI TEATR""";г. Москва, ул. Проходчиков, д. 2;;Собственность субъектов Российской Федерации;Государственные бюджетные учреждения субъектов Российской Федерации;- культуры;7716028803;1037716012498;771601001;Город Москва столица Российской Федерации город федерального значения, Северо-Восточный, Ярославский;05112873;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Ярославский;90.04;Деятельность учреждений культуры и искусства;
879;РАЦИОН, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАЦИОН""";"AO ""RATSION""";г. Москва, вн.тер.г. муниципальный округ Дорогомилово, наб Бережковская, д. 28, помещ. 3/2;10 000 000;Собственность иностранных граждан и лиц без гражданства;Непубличные акционерные общества;Хозяйственные общества и товарищества с участием иностранных юридических и (или) физических лиц, а также лиц без гражданства;7751216782;1227700109230;773001001;Город Москва столица Российской Федерации город федерального значения, Западный, Дорогомилово;50555758;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Дорогомилово;46.90;Торговля оптовая неспециализированная;{'Торговля оптовая фруктами и овощами': '46.31'}
880;ЭТНО-КУДО ИМ. РОМАШКИНА МБУК РАЙОННЫЙ ЦЕНТР НАЦИОНАЛЬНОЙ КУЛЬТУРЫ НПР КМР РМ, МУЗЕЙ;;;;;;;;;;;;;;;;
881;СЕЛЕНГИНСКИЙ ЦКК, ОАО;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕЛЕНГИНСКИЙ ЦЕЛЛЮЛОЗНО-КАРТОННЫЙ КОМБИНАТ""";Selenginsky pulp and cardboard mill OJSC;Бурятия респ., Кабанский район, пгт. Селенгинск, д. 0 кв. 0;480 880 000;Частная собственность;Публичные акционерные общества;Приватизированные предприятия;0309000133;1020300665604;030901001;Республика Бурятия, Кабанский район, Селенгинск;00279611;Бурятия (Республика), Муниципальные районы Республики Бурятии, Кабанский мун. р-н, Городские поселения Кабанского муниципального района, Селенгинское, п Селенгинск;17.1;Производство целлюлозы, древесной массы, бумаги и картона;{'Производство бумаги и картона': '17.12'}
882;ЕВРОПОЛИМЕР-ТРЕЙДИНГ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОПОЛИМЕР-ТРЕЙДИНГ""";EVROPOLIMER-TRADING CO. LTD;Ростовская обл., Аксайский район, пос. Октябрьский, ул. Ленина, д. ЗД. 1/11 офис 2;10 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;6165165478;1106165006639;610201001;Ростовская область, Аксайский район, Щепкинское, п Октябрьский;68754489;Ростовская область, Муниципальные районы Ростовской области, Аксайский мун. р-н, Сельские поселения Аксайского муниципального района, Щепкинское, п Октябрьский;20.16;Производство пластмасс и синтетических смол в первичных формах;{'Производство пластмассовых изделий для упаковывания товаров': '22.22'}
883;ППО НИКИ ПЕДИАТРИИ И ДЕТСКОЙ ХИРУРГИИ ИМ. АКАДЕМИКА Ю.Е. ВЕЛЬТИЩЕВА ФГАОУ ВО РНИМУ ИМ. Н.И. ПИРОГОВА МИНЗДРАВА РОССИИ, МОО;МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ - ПЕРВИЧНАЯ ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ ОБОСОБЛЕННОГО СТРУКТУРНОГО ПОДРАЗДЕЛЕНИЯ - НАУЧНО-ИССЛЕДОВАТЕЛЬСКОГО КЛИНИЧЕСКОГО ИНСТИТУТА ПЕДИАТРИИ И ДЕТСКОЙ ХИРУРГИИ ИМЕНИ АКАДЕМИКА Ю.Е. ВЕЛЬТИЩЕВА ФГАОУ ВО РНИМУ ИМ. Н.И. ПИРОГОВА МИНЗДРАВА РОССИИ РЕГИОНАЛЬНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ПРОФЕССИОНАЛЬНОГО СОЮЗА РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ Г. МОСКВЫ;MOO - PPO NIKI PEDIATRII I DETSKOI KHIRURGII IM. AKADEMIKA Yu.E. VELTISHCHEVA FGAOU VO RNIMU IM. N.I. PIROGOVA MINZDRAVA ROSSII;г. Москва, ул. Талдомская, д. 2;;Собственность профессиональных союзов;Общественные организации;Региональные и местные общественные объединения;7743011809;1037739287410;774301001;Город Москва столица Российской Федерации город федерального значения, Северный, Западное Дегунино;18401219;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Западное Дегунино;;;
884;ДВД РОССИЯ, АНО;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ДИРЕКЦИЯ ВЫСТАВКИ ДОСТИЖЕНИЙ ""РОССИЯ""""";"ANO ""DEA ""RUSSIA""""";г. Москва, вн.тер.г. муниципальный округ Якиманка, пер Бродников, д. 7, стр. 2;;Частная собственность;Автономные некоммерческие организации;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;9703137862;1237700185645;770601001;Город Москва столица Российской Федерации город федерального значения, Центральный, Якиманка;62782378;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Якиманка;82.30;Деятельность по организации конференций и выставок;{'Виды издательской деятельности прочие': '58.19'}
885;ПРОСТОЕВ. НЕТ, ООО;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОСТОЕВ. НЕТ""";"OOO ""PROSTOEV. NET""";г. Москва, ул. Заречная, д. 9 пом. 1 ком. 12;20 000;Частная собственность;Общества с ограниченной ответственностью;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7714923783;5137746205845;773001001;Город Москва столица Российской Федерации город федерального значения, Западный, Филевский парк;26261880;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Филевский парк;82.99;Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки;{'Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах': '47.41'}
886;РЕЕСТР, АО;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕЕСТР""";"AO ""REESTR""";г. Москва, пер. Большой Балканский, д. 20 стр. 1;5 131 940;Смешанная российская собственность с долей собственности субъектов Российской Федерации;Непубличные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7704028206;1027700047275;770801001;Город Москва столица Российской Федерации город федерального значения, Центральный, Красносельский;17771492;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Красносельский;66.11.3;Деятельность регистраторов по ведению реестра владельцев ценных бумаг;{'Деятельность по созданию и использованию баз данных и информационных ресурсов': '63.11.1'}
887;РАЗВИТИЯ ЮГРЫ, ФОНД;ФОНД РАЗВИТИЯ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА – ЮГРЫ;FOND RAZVITIYA YUGRY;Ханты-Мансийский Автономный Округ - Югра, г.о. Ханты-Мансийск, г Ханты-Мансийск, ул Спортивная, зд. 24, стр. 9;;Частная собственность;Фонды;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;8601037144;1088600001775;860101001;Тюменская область, Ханты-Мансийск;89405787;Тюменская область, Муниципальные районы и городские округа Ханты-Мансийского автономного округа - Югры, Ханты-Мансийск;70.22;Консультирование по вопросам коммерческой деятельности и управления;{'Строительство жилых и нежилых зданий': '41.20'}
888;СИНИМЕКС, ООО;;;;;;;;;;;;;;;;
889;МОСТУРФЛОТ, ОАО;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ТУРИСТИЧЕСКИЙ ФЛОТ""";"""MOSCOW TRAVEL FLEET JOINT-STOCK COMPANY""";г. Москва, шоссе Ленинградское, д. 59;115 454 930;Частная собственность;Публичные акционерные общества;Организации, учрежденные юридическими лицами или гражданами, или юридическими лицами и гражданами совместно;7712098197;1027739015699;774301001;Город Москва столица Российской Федерации город федерального значения, Северный, Левобережный;47562573;Москва, Внутригородские муниципальные образования города Москвы (см. также 45 900 000), муниципальный округ Левобережный;50.30;Деятельность внутреннего водного пассажирского транспорта;{'Строительство кораблей, судов и плавучих конструкций': '30.11'}
